-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
online_softmax_kernel(float const*, float*, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     525.661us        82.35%     525.661us     525.661us           0 b           0 b           0 b           0 b             1  
                                         Custom Softmax         0.00%       0.000us         0.00%       0.000us       0.000us     525.661us        82.35%     525.661us     525.661us           0 b           0 b           0 b           0 b             1  
                                        PyTorch Softmax        21.59%     693.876us        55.11%       1.771ms       1.771ms       0.000us         0.00%     112.671us     112.671us           0 b           0 b           0 b     -38.15 Mb             1  
                                          aten::softmax         5.07%     162.872us        33.51%       1.077ms       1.077ms       0.000us         0.00%     112.671us     112.671us           0 b           0 b      38.15 Mb           0 b             1  
                                         aten::_softmax        27.76%     892.076us        28.45%     914.149us     914.149us     112.671us        17.65%     112.671us     112.671us           0 b           0 b      38.15 Mb      38.15 Mb             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us     112.671us        17.65%     112.671us     112.671us           0 b           0 b           0 b           0 b             1  
                                        PyTorch Softmax         0.00%       0.000us         0.00%       0.000us       0.000us     112.671us        17.65%     112.671us     112.671us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel         1.05%      33.695us         1.05%      33.695us      16.847us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                         Custom Softmax        11.35%     364.883us        31.17%       1.002ms       1.002ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b     -38.15 Mb             1  
                                       aten::empty_like        19.09%     613.589us        19.45%     625.172us     625.172us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      38.15 Mb           0 b             1  
                                    aten::empty_strided         0.36%      11.583us         0.36%      11.583us      11.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      38.15 Mb      38.15 Mb             1  
                                  cudaDeviceSynchronize        13.72%     441.059us        13.72%     441.059us     441.059us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.214ms
Self CUDA time total: 638.332us
