-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
online_softmax_kernel(float const*, float*, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     499.585us        81.64%     499.585us     499.585us           0 b           0 b           0 b           0 b             1  
                                         Custom Softmax         0.00%       0.000us         0.00%       0.000us       0.000us     499.585us        81.64%     499.585us     499.585us           0 b           0 b           0 b           0 b             1  
                                        PyTorch Softmax        63.03%       7.832ms        76.58%       9.517ms       9.517ms       0.000us         0.00%     112.320us     112.320us           0 b           0 b           0 b     -38.15 Mb             1  
                                          aten::softmax         5.67%     704.367us        13.56%       1.684ms       1.684ms       0.000us         0.00%     112.320us     112.320us           0 b           0 b      38.15 Mb           0 b             1  
                                         aten::_softmax         7.68%     954.220us         7.89%     980.130us     980.130us     112.320us        18.36%     112.320us     112.320us           0 b           0 b      38.15 Mb      38.15 Mb             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us     112.320us        18.36%     112.320us     112.320us           0 b           0 b           0 b           0 b             1  
                                        PyTorch Softmax         0.00%       0.000us         0.00%       0.000us       0.000us     112.320us        18.36%     112.320us     112.320us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel         0.32%      39.396us         0.32%      39.396us      19.698us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                         Custom Softmax         3.77%     467.908us        23.37%       2.904ms       2.904ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b     -38.15 Mb             1  
                                       aten::empty_like        19.40%       2.410ms        19.49%       2.423ms       2.423ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b      38.15 Mb           0 b             1  
                                    aten::empty_strided         0.10%      12.333us         0.10%      12.333us      12.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      38.15 Mb      38.15 Mb             1  
                                  cudaDeviceSynchronize         0.05%       6.262us         0.05%       6.262us       6.262us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.427ms
Self CUDA time total: 611.905us
